line,ref_kind,direct_method,path_expression,tail
1851,db.ref,remove,DB_PATH+'/'+activeDate+'/opex/'+key,".remove();sjAudit('EXPENSE_DELETE',key)}catch(e){sjSaveError('EXPENSE_DELETE',e);alert(sjFriendlyError(e))}}  async function sjSavePayment()"
1853,db.ref,once,DB_PATH+'/'+path+key,".once('value'),8000,'PAY_READ_TIMEOUT'),h=snap.val();if(!h)throw new Error('Data tidak ditemukan.');var total=sjNum(h.originalAmount||h.nomi"
1853,db.ref,update,DB_PATH,".update(u),10000,'PAY_TIMEOUT');clsModal('modal-sj-payment');SJ_ACTIVE_PAYMENT=null;showToast('Pembayaran '+sjPayLabel(method)+' tercatat. S"
1857,db.ref,,DB_PATH+'/global/inventory/'+id,",before=sjStockQty(p),after=before,delta=0;if(mode==='RESTOCK'){var tr=await sjTimeout(ref.transaction(cur=>sjNum(cur==null?before:cur)+qty)"
1857,db.ref,set,DB_PATH+'/global/stockLedger/'+lid,".set({id:lid,productId:p.id,productName:p.n,delta:delta,before:before,after:after,type:mode,note:note||'Restock',user:currentUserName,ts:Dat"
1860,db.ref,,DB_PATH,".orderByKey().startAt(day).endAt(day+'\uf8ff'),s=await sjTimeout(ref.once('value'),12000,'REPORT_TIMEOUT');return{period:day,data:s.val()||{"
1860,db.ref,,DB_PATH,".orderByKey().startAt(month).endAt(month+'\uf8ff'),s2=await sjTimeout(ref2.once('value'),15000,'REPORT_TIMEOUT');return{period:month,data:s2"
1860,db.ref,once,DB_PATH+'/'+activeDate,".once('value'),10000,'REPORT_TIMEOUT');return{period:activeDate,data:{[activeDate]:s.val()||emptyDay()}}}if(type==='daily'){var day=activeDa"
1877,db.ref,once,DB_PATH+'/global/_diagnostics/'+id,".once('value'),8000,'DIAG_READ_TIMEOUT');await db.ref(DB_PATH+'/global/_diagnostics/'+id).remove();out.textContent='OK • '+Math.round(perfor"
1877,db.ref,remove,DB_PATH+'/global/_diagnostics/'+id,".remove();out.textContent='OK • '+Math.round(performance.now()-start)+' ms';out.style.color='#10b981'}catch(e){sjSaveError('DIAGNOSTIC',e);o"
1877,db.ref,set,DB_PATH+'/global/_diagnostics/'+id,".set({at:sjNowIso()}),8000,'DIAG_WRITE_TIMEOUT');var s=await sjTimeout(db.ref(DB_PATH+'/global/_diagnostics/'+id).once('value'),8000,'DIAG_R"
1920,db.ref,,DB_PATH,".orderByKey().startAt(activeDateOnly).endAt(activeDateOnly+'\uf8ff').once('value'),9000,'DASH_TIMEOUT'),d=snap.val()||{},sh={};Object.keys(d"
1927,db.ref,,DB_PATH+'/global/restockRequests',";ref.on('value',snap=>{var rows=sjArr(snap.val()),now=Date.now();cloudData.global.restockRequests=snap.val()||{};     if(currentUserRole==='"
1934,db.ref,set,DB_PATH+'/global/notifications/'+nid,".set({id:nid,type:'RESTOCK',title:'Permintaan Restock Baru',body:p.n+' • sisa '+sjStockQty(p)+' • minta +'+q,refId:id,targetRole:'manajemen'"
1934,db.ref,set,DB_PATH+'/global/restockRequests/'+id,".set(row),10000,'RESTOCK_REQUEST_TIMEOUT');clsModal('modal-sjx-restock');showToast('Permintaan restock '+p.n+' +'+q+' dikirim ke Owner.','su"
1947,db.ref,,DB_PATH+'/global/restockRequests/'+key,";try{var tr=await sjTimeout(ref.transaction(cur=>{if(!cur||cur.status!==expected)return;var n=Object.assign({},cur,{status:toStatus,updatedA"
1947,db.ref,set,DB_PATH+'/global/notifications/'+nid,".set({id:nid,type:'RESTOCK_STATUS',title:title,body:body,refId:key,targetView:'RESTOCK',targetUserId:x.requestedById,read:false,ts:Date.now("
1950,db.ref,,DB_PATH+'/global/restockRequests/'+key,;try{var tr=await sjTimeout(ref.transaction(cur=>{if(!cur||cur.status!=='WAITING'||String(cur.requestedById||'')!==String(currentLoginId))re
1950,db.ref,set,DB_PATH+'/global/notifications/'+nid,".set({id:nid,type:'RESTOCK_CANCELLED',title:'Permintaan Restock Dibatalkan',body:(x.productName||'Produk')+' • oleh '+currentUserName,refId:"
1951,db.ref,,DB_PATH+'/global/restockRequests/'+key,",claimed=false,stockAdded=false,p=null,before=0;try{var claim=await sjTimeout(reqRef.transaction(cur=>{if(!cur||cur.status!=='SENT')return;v"
1951,db.ref,transaction,DB_PATH+'/global/inventory/'+p.id,".transaction(cur=>Math.max(0,sjNum(cur)-sjNum(local.requestQty)))}catch(_){}}if(claimed){try{await reqRef.update({status:'SENT',receivingBy:"
1951,db.ref,transaction,DB_PATH+'/global/inventory/'+p.id,".transaction(cur=>sjNum(cur==null?before:cur)+sjNum(x.requestQty)),8000,'RESTOCK_RECEIVE_TIMEOUT');if(!tr.committed)throw new Error('Gagal m"
1951,db.ref,update,DB_PATH,".update(u);showToast('Stok diterima. '+p.n+' sekarang '+after+'.','success');sjAudit('RESTOCK_RECEIVED',p.n+' +'+x.requestQty)}catch(e){sjSa"
1954,db.ref,update,DB_PATH+'/'+activeDate,".update({shiftNote:t,shiftNoteUpdatedAt:sjNowIso(),shiftNoteUpdatedBy:currentUserName});showToast('Catatan shift disimpan.','success');sjAud"
1957,db.ref,set,DB_PATH+'/'+activeDate+'/cashMovements/'+id,".set({id:id,direction:dir,amount:a,note:note,user:currentUserName,ts:Date.now(),at:sjNowIso()});showToast('Mutasi kas disimpan.','success');"
1960,db.ref,set,DB_PATH+'/global/'+node+'/'+id,".set({id:id,name:name.toUpperCase(),phone:phone,note:note,active:true,createdAt:sjNowIso(),createdBy:currentUserName});clsModal('modal-sjx-p"
1963,db.ref,transaction,DB_PATH+'/global/inventory/'+p.id,".transaction(cur=>sjNum(cur)+sjNum(x.q));restocked.push({id:p.id,q:sjNum(x.q)})}}}u['global/refunds/'+refid]={id:refid,originalTxId:t.id||t."
1963,db.ref,transaction,DB_PATH+'/global/inventory/'+x.id,".transaction(cur=>Math.max(0,sjNum(cur)-x.q))}catch(_){}}alert(sjFriendlyError(e))}})},  async toggleAvailability(id){var menu=(cloudData.gl"
1963,db.ref,update,DB_PATH,".update(u);showToast('Retur '+fmt(total)+' berhasil dicatat.','success');document.getElementById('sjx-refund-result').innerHTML='';document."
1964,db.ref,set,DB_PATH+'/global/menu',".set(menu);showToast(menu[i].unavailableDate?'Produk ditandai tidak tersedia hari ini.':'Produk tersedia kembali.','success');sjAudit('PRODU"
1969,db.ref,update,DB_PATH+'/global/settings',".update({pushEnabled:en,pushWebhook:url});showToast('Pengaturan push disimpan.','success')}catch(e){alert(sjFriendlyError(e))}},  async test"
2035,db.ref,,DB_PATH+'/'+key,",cb=function(snap){var d=snap.val()||{};cloudData[key]=d;sjRenderOwnerShiftDetailData(key,d)};SJ_SHIFT_DETAIL_LIVE={key:key,ref:ref,cb:cb};r"
